Disease Name,Symptoms,Medicine Name,Dosage Instructions
Bronchitis,"Joint pain, Swelling",Loratadine,Take 5ml syrup before bedtime
Pneumonia,"Chills, Sweating, Muscle pain",Losartan,Apply cream twice a day
Tuberculosis,"Chills, Sweating, Muscle pain",Hydroxychloroquine,1 tablet every 12 hours
Dengue,"Red spots on skin, Fever",Metformin,Take before sleep
Chickenpox,"Fever, Loss of taste/smell",Zinc Sulfate,Inject once daily
Bronchitis,"Nausea, Sensitivity to light",Artemether,1 tablet every 12 hours
Hepatitis C,"Facial pain, Runny nose, Headache",Isoniazid,1 tablet every 12 hours
Measles,"Red spots on skin, Fever",Paracetamol,Take with water after meals
Common Cold,"Fever, Cough, Fatigue",Zinc Sulfate,Take 2 tablets daily after meals
COVID-19,"Frequent urination, Increased thirst",Prednisone,Take 2 tablets daily after meals
Hypertension,"Facial pain, Runny nose, Headache",Cetirizine,Take 2 tablets daily after meals
Pneumonia,"Red spots on skin, Fever",Ibuprofen,1 tablet every 12 hours
Diabetes,"Joint pain, Swelling",Methotrexate,Take before sleep
Typhoid,"Nausea, Vomiting, Diarrhea",Omeprazole,Take 2 tablets daily after meals
Arthritis,"Frequent urination, Increased thirst",Azithromycin,Use inhaler as needed
Hypertension,"Joint pain, Swelling",Prednisone,1 tablet every 12 hours
Measles,"Chills, Sweating, Muscle pain",Metformin,Inject once daily
Bronchitis,"Swollen salivary glands, Fever",Hydroxychloroquine,Take 2 tablets daily after meals
Migraine,"Skin rash, Fever",Paracetamol,Use inhaler as needed
COVID-19,"Jaundice, Dark urine, Fatigue",Omeprazole,Take with water after meals
Chickenpox,"Cough, Mucus production",Isoniazid,Inject once daily
Sinusitis,"Nausea, Sensitivity to light",Vitamin C,Use inhaler as needed
Malaria,"Facial pain, Runny nose, Headache",Azithromycin,Apply cream twice a day
Measles,"Nausea, Vomiting, Diarrhea",Paracetamol,Take 5ml syrup before bedtime
Sinusitis,"Nausea, Sensitivity to light",Azithromycin,1 capsule every morning with food
Hepatitis B,"Nausea, Sensitivity to light",Doxycycline,Take 2 tablets daily after meals
Hypertension,"Shortness of breath, Chest pain",Losartan,Take before sleep
Dengue,"Jaundice, Dark urine, Fatigue",Metformin,Take 1 tablet every 6 hours
Chickenpox,"Joint pain, Swelling",Paracetamol,1 capsule every morning with food
Malaria,"Swollen salivary glands, Fever",Rifampin,Take with water after meals
Pneumonia,"Wheezing, Shortness of breath",Vitamin C,Use inhaler as needed
Tuberculosis,"Persistent cough, Weight loss, Night sweats",Ibuprofen,Take 1 tablet every 6 hours
Bronchitis,"Headache, Dizziness, Blurred vision",Methotrexate,Apply cream twice a day
Tuberculosis,"Nausea, Vomiting, Diarrhea",Losartan,Take 5ml syrup before bedtime
Food Poisoning,"Sneezing, Sore throat",Cetirizine,Apply cream twice a day
Sinusitis,"Persistent cough, Weight loss, Night sweats",Chloroquine,1 capsule every morning with food
Food Poisoning,"Skin rash, High fever, Bleeding gums",Loratadine,Take 1 tablet every 6 hours
Asthma,"Jaundice, Dark urine, Fatigue",Zinc Sulfate,Apply cream twice a day
Measles,"Frequent urination, Increased thirst",Artemether,Inject once daily
Tuberculosis,"Fever, Cough, Fatigue",Methotrexate,Inject once daily
Hypertension,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,Take before sleep
Common Cold,"Abdominal pain, High fever, Loss of appetite",Prednisone,Take 2 tablets daily after meals
Dengue,"Abdominal pain, High fever, Loss of appetite",Aspirin,Take before sleep
Tuberculosis,"Skin rash, Fever",Ventolin,1 capsule every morning with food
Asthma,"Frequent urination, Increased thirst",Methotrexate,1 tablet every 12 hours
Measles,"Frequent urination, Increased thirst",Isoniazid,Use inhaler as needed
Malaria,"Red spots on skin, Fever",Paracetamol,Take 1 tablet every 6 hours
Dengue,"Facial pain, Runny nose, Headache",Chloroquine,Take 5ml syrup before bedtime
Asthma,"Fever, Loss of taste/smell",Rifampin,Take 2 tablets daily after meals
Typhoid,"Jaundice, Dark urine, Fatigue",Methotrexate,Take 1 tablet every 6 hours
Mumps,"Persistent cough, Weight loss, Night sweats",Loratadine,Take before sleep
Common Cold,"Skin rash, High fever, Bleeding gums",Rifampin,Take with water after meals
Malaria,"Red spots on skin, Fever",Zinc Sulfate,Take 2 tablets daily after meals
Hepatitis B,"Headache, Dizziness, Blurred vision",Artemether,Take before sleep
Hypertension,"Headache, Dizziness, Blurred vision",Loratadine,Inject once daily
Measles,"Persistent cough, Weight loss, Night sweats",Aspirin,Inject once daily
Asthma,"Persistent cough, Weight loss, Night sweats",Artemether,Take before sleep
Dengue,"Chills, Sweating, Muscle pain",Doxycycline,1 tablet every 12 hours
Chickenpox,"Nausea, Vomiting, Diarrhea",Amoxicillin,1 capsule every morning with food
Malaria,"Cough, Mucus production",Aspirin,Take 1 tablet every 6 hours
Mumps,"Nausea, Sensitivity to light",Azithromycin,Take 1 tablet every 6 hours
Malaria,"Facial pain, Runny nose, Headache",Ibuprofen,Take 1 tablet every 6 hours
Migraine,"Facial pain, Runny nose, Headache",Methotrexate,Take with water after meals
Malaria,"Fever, Loss of taste/smell",Hydroxychloroquine,Take 5ml syrup before bedtime
Arthritis,"Sneezing, Sore throat",Rifampin,Inject once daily
Tuberculosis,"Fever, Loss of taste/smell",Doxycycline,Take 2 tablets daily after meals
COVID-19,"Sneezing, Sore throat",Metformin,Take before sleep
Tuberculosis,"Headache, Dizziness, Blurred vision",Omeprazole,Take before sleep
Hepatitis B,"Frequent urination, Increased thirst",Losartan,Take before sleep
Influenza,"Shortness of breath, Chest pain",Zinc Sulfate,Take 2 tablets daily after meals
Asthma,"Joint pain, Swelling",Ibuprofen,Apply cream twice a day
Arthritis,"Swollen salivary glands, Fever",Hydroxychloroquine,Take 5ml syrup before bedtime
Hepatitis B,"Facial pain, Runny nose, Headache",Ibuprofen,Take before sleep
COVID-19,"Jaundice, Dark urine, Fatigue",Isoniazid,Take with water after meals
Mumps,"Wheezing, Shortness of breath",Vitamin C,1 capsule every morning with food
Food Poisoning,"Facial pain, Runny nose, Headache",Paracetamol,Take with water after meals
Bronchitis,"Abdominal pain, High fever, Loss of appetite",Aspirin,1 tablet every 12 hours
Common Cold,"Facial pain, Runny nose, Headache",Ibuprofen,Take 1 tablet every 6 hours
Dengue,"Nausea, Vomiting, Diarrhea",Zinc Sulfate,1 tablet every 12 hours
Typhoid,"Cough, Mucus production",Methotrexate,1 capsule every morning with food
Asthma,"Cough, Mucus production",Losartan,1 tablet every 12 hours
Diabetes,"Chills, Sweating, Muscle pain",Losartan,Take 5ml syrup before bedtime
Measles,"Joint pain, Swelling",Rifampin,Inject once daily
Measles,"Facial pain, Runny nose, Headache",Vitamin C,Take 5ml syrup before bedtime
Chickenpox,"Frequent urination, Increased thirst",Losartan,Take 2 tablets daily after meals
Dengue,"Chills, Sweating, Muscle pain",Paracetamol,Take before sleep
COVID-19,"Red spots on skin, Fever",Doxycycline,Take before sleep
Bronchitis,"Fever, Cough, Fatigue",Methotrexate,Take 5ml syrup before bedtime
Food Poisoning,"Fever, Cough, Fatigue",Aspirin,Apply cream twice a day
Arthritis,"Jaundice, Dark urine, Fatigue",Isoniazid,Take before sleep
Typhoid,"Sneezing, Sore throat",Azithromycin,1 tablet every 12 hours
Asthma,"Joint pain, Swelling",Chloroquine,1 tablet every 12 hours
Dengue,"Shortness of breath, Chest pain",Cetirizine,Take 1 tablet every 6 hours
Sinusitis,"Cough, Mucus production",Azithromycin,Use inhaler as needed
Sinusitis,"Nausea, Vomiting, Diarrhea",Doxycycline,Use inhaler as needed
Hepatitis B,"Jaundice, Dark urine, Fatigue",Amoxicillin,1 capsule every morning with food
Chickenpox,"Abdominal pain, High fever, Loss of appetite",Prednisone,Apply cream twice a day
Sinusitis,"Red spots on skin, Fever",Losartan,Take 1 tablet every 6 hours
Hepatitis B,"Fever, Loss of taste/smell",Omeprazole,Inject once daily
Bronchitis,"Chills, Sweating, Muscle pain",Isoniazid,1 tablet every 12 hours
Bronchitis,"Swollen salivary glands, Fever",Vitamin C,Apply cream twice a day
Diabetes,"Joint pain, Swelling",Ventolin,Take with water after meals
Pneumonia,"Persistent cough, Weight loss, Night sweats",Loratadine,Take 5ml syrup before bedtime
COVID-19,"Shortness of breath, Chest pain",Hydroxychloroquine,Take 5ml syrup before bedtime
Pneumonia,"Skin rash, High fever, Bleeding gums",Vitamin C,Inject once daily
Food Poisoning,"Swollen salivary glands, Fever",Methotrexate,Take with water after meals
COVID-19,"Nausea, Sensitivity to light",Loratadine,1 capsule every morning with food
Tuberculosis,"Joint pain, Swelling",Paracetamol,Take 2 tablets daily after meals
Tuberculosis,"Persistent cough, Weight loss, Night sweats",Prednisone,1 tablet every 12 hours
Hepatitis B,"Joint pain, Swelling",Cetirizine,Apply cream twice a day
Diabetes,"Sneezing, Sore throat",Prednisone,Take with water after meals
Mumps,"Fever, Cough, Fatigue",Ventolin,1 capsule every morning with food
Sinusitis,"Cough, Mucus production",Doxycycline,Use inhaler as needed
Mumps,"Sneezing, Sore throat",Azithromycin,1 capsule every morning with food
Mumps,"Persistent cough, Weight loss, Night sweats",Paracetamol,1 capsule every morning with food
Influenza,"Fever, Loss of taste/smell",Paracetamol,1 tablet every 12 hours
Common Cold,"Red spots on skin, Fever",Rifampin,1 tablet every 12 hours
Tuberculosis,"Fever, Cough, Fatigue",Metformin,Take before sleep
Dengue,"Fever, Loss of taste/smell",Metformin,Apply cream twice a day
Pneumonia,"Fever, Cough, Fatigue",Azithromycin,Take 5ml syrup before bedtime
Common Cold,"Shortness of breath, Chest pain",Chloroquine,1 tablet every 12 hours
Influenza,"Shortness of breath, Chest pain",Azithromycin,Apply cream twice a day
Food Poisoning,"Skin rash, Fever",Loratadine,Take with water after meals
Migraine,"Red spots on skin, Fever",Methotrexate,Take with water after meals
Chickenpox,"Swollen salivary glands, Fever",Zinc Sulfate,Take 1 tablet every 6 hours
Hepatitis C,"Sneezing, Sore throat",Doxycycline,Take 5ml syrup before bedtime
Pneumonia,"Cough, Mucus production",Vitamin C,Take 1 tablet every 6 hours
Migraine,"Joint pain, Swelling",Amoxicillin,Take with water after meals
Arthritis,"Headache, Dizziness, Blurred vision",Zinc Sulfate,Apply cream twice a day
Migraine,"Frequent urination, Increased thirst",Chloroquine,1 tablet every 12 hours
Diabetes,"Red spots on skin, Fever",Vitamin C,Take 1 tablet every 6 hours
Tuberculosis,"Nausea, Sensitivity to light",Zinc Sulfate,Take before sleep
Hepatitis B,"Nausea, Vomiting, Diarrhea",Artemether,Inject once daily
Migraine,"Swollen salivary glands, Fever",Paracetamol,Apply cream twice a day
Food Poisoning,"Shortness of breath, Chest pain",Vitamin C,Inject once daily
Diabetes,"Cough, Mucus production",Paracetamol,Take before sleep
Food Poisoning,"Swollen salivary glands, Fever",Cetirizine,Take with water after meals
Dengue,"Jaundice, Dark urine, Fatigue",Prednisone,Take before sleep
Migraine,"Skin rash, Fever",Losartan,1 tablet every 12 hours
Hypertension,"Skin rash, Fever",Rifampin,Inject once daily
Tuberculosis,"Abdominal pain, High fever, Loss of appetite",Methotrexate,Take before sleep
Chickenpox,"Nausea, Vomiting, Diarrhea",Rifampin,1 capsule every morning with food
Food Poisoning,"Persistent cough, Weight loss, Night sweats",Azithromycin,Inject once daily
Common Cold,"Skin rash, Fever",Vitamin C,Apply cream twice a day
Bronchitis,"Frequent urination, Increased thirst",Omeprazole,Take 5ml syrup before bedtime
Sinusitis,"Sneezing, Sore throat",Ventolin,Take before sleep
Chickenpox,"Nausea, Sensitivity to light",Hydroxychloroquine,Inject once daily
Bronchitis,"Shortness of breath, Chest pain",Amoxicillin,Use inhaler as needed
Chickenpox,"Headache, Dizziness, Blurred vision",Prednisone,Take with water after meals
Arthritis,"Chills, Sweating, Muscle pain",Losartan,Take 1 tablet every 6 hours
Typhoid,"Red spots on skin, Fever",Cetirizine,Take 2 tablets daily after meals
Migraine,"Fever, Cough, Fatigue",Amoxicillin,Apply cream twice a day
Diabetes,"Skin rash, Fever",Amoxicillin,Take with water after meals
Migraine,"Persistent cough, Weight loss, Night sweats",Loratadine,Take 5ml syrup before bedtime
COVID-19,"Nausea, Sensitivity to light",Zinc Sulfate,1 capsule every morning with food
Influenza,"Red spots on skin, Fever",Aspirin,1 capsule every morning with food
Mumps,"Joint pain, Swelling",Metformin,Take 2 tablets daily after meals
Sinusitis,"Joint pain, Swelling",Zinc Sulfate,Use inhaler as needed
Hepatitis B,"Fever, Loss of taste/smell",Rifampin,1 tablet every 12 hours
COVID-19,"Persistent cough, Weight loss, Night sweats",Rifampin,Use inhaler as needed
Dengue,"Frequent urination, Increased thirst",Ibuprofen,1 tablet every 12 hours
Diabetes,"Abdominal pain, High fever, Loss of appetite",Methotrexate,Take with water after meals
Hepatitis B,"Cough, Mucus production",Aspirin,Take with water after meals
Hypertension,"Fever, Cough, Fatigue",Zinc Sulfate,Take 2 tablets daily after meals
Hypertension,"Skin rash, High fever, Bleeding gums",Ventolin,Take 2 tablets daily after meals
Dengue,"Red spots on skin, Fever",Ventolin,Use inhaler as needed
Measles,"Chills, Sweating, Muscle pain",Rifampin,Take 2 tablets daily after meals
Common Cold,"Chills, Sweating, Muscle pain",Hydroxychloroquine,Take 2 tablets daily after meals
Tuberculosis,"Red spots on skin, Fever",Paracetamol,1 tablet every 12 hours
Tuberculosis,"Nausea, Vomiting, Diarrhea",Artemether,Apply cream twice a day
Food Poisoning,"Skin rash, High fever, Bleeding gums",Ibuprofen,Take with water after meals
Influenza,"Joint pain, Swelling",Losartan,Use inhaler as needed
Influenza,"Sneezing, Sore throat",Doxycycline,Use inhaler as needed
Hepatitis B,"Fever, Loss of taste/smell",Azithromycin,Take 5ml syrup before bedtime
Chickenpox,"Nausea, Sensitivity to light",Chloroquine,Inject once daily
Migraine,"Abdominal pain, High fever, Loss of appetite",Chloroquine,Apply cream twice a day
Arthritis,"Headache, Dizziness, Blurred vision",Methotrexate,Take 5ml syrup before bedtime
Hepatitis B,"Shortness of breath, Chest pain",Omeprazole,Take with water after meals
Hepatitis C,"Skin rash, High fever, Bleeding gums",Artemether,Inject once daily
Dengue,"Skin rash, High fever, Bleeding gums",Chloroquine,Take 2 tablets daily after meals
Measles,"Chills, Sweating, Muscle pain",Vitamin C,Take with water after meals
Measles,"Nausea, Vomiting, Diarrhea",Ventolin,1 capsule every morning with food
Typhoid,"Skin rash, High fever, Bleeding gums",Methotrexate,Take before sleep
Asthma,"Abdominal pain, High fever, Loss of appetite",Artemether,Inject once daily
Food Poisoning,"Facial pain, Runny nose, Headache",Ventolin,Take before sleep
Tuberculosis,"Wheezing, Shortness of breath",Zinc Sulfate,Use inhaler as needed
Bronchitis,"Chills, Sweating, Muscle pain",Zinc Sulfate,Apply cream twice a day
Diabetes,"Sneezing, Sore throat",Prednisone,Inject once daily
Arthritis,"Abdominal pain, High fever, Loss of appetite",Isoniazid,Take with water after meals
Hepatitis C,"Chills, Sweating, Muscle pain",Azithromycin,Use inhaler as needed
Mumps,"Skin rash, High fever, Bleeding gums",Cetirizine,Take 5ml syrup before bedtime
Hypertension,"Chills, Sweating, Muscle pain",Paracetamol,Take 2 tablets daily after meals
Migraine,"Frequent urination, Increased thirst",Amoxicillin,Inject once daily
Influenza,"Shortness of breath, Chest pain",Methotrexate,Take 2 tablets daily after meals
Bronchitis,"Cough, Mucus production",Cetirizine,Apply cream twice a day
Typhoid,"Headache, Dizziness, Blurred vision",Cetirizine,Inject once daily
Chickenpox,"Nausea, Sensitivity to light",Omeprazole,1 tablet every 12 hours
Chickenpox,"Swollen salivary glands, Fever",Omeprazole,Inject once daily
Pneumonia,"Frequent urination, Increased thirst",Isoniazid,Take 5ml syrup before bedtime
Hepatitis C,"Fever, Loss of taste/smell",Hydroxychloroquine,Apply cream twice a day
Pneumonia,"Skin rash, Fever",Ibuprofen,1 capsule every morning with food
Bronchitis,"Headache, Dizziness, Blurred vision",Vitamin C,Inject once daily
Arthritis,"Abdominal pain, High fever, Loss of appetite",Omeprazole,Take before sleep
Pneumonia,"Shortness of breath, Chest pain",Chloroquine,Take 1 tablet every 6 hours
Asthma,"Skin rash, Fever",Cetirizine,Take with water after meals
Arthritis,"Nausea, Sensitivity to light",Aspirin,Inject once daily
Typhoid,"Cough, Mucus production",Azithromycin,Inject once daily
Food Poisoning,"Jaundice, Dark urine, Fatigue",Hydroxychloroquine,Take with water after meals
Mumps,"Shortness of breath, Chest pain",Cetirizine,Take 2 tablets daily after meals
Bronchitis,"Wheezing, Shortness of breath",Vitamin C,1 capsule every morning with food
Hypertension,"Skin rash, High fever, Bleeding gums",Azithromycin,Use inhaler as needed
Food Poisoning,"Persistent cough, Weight loss, Night sweats",Zinc Sulfate,Take 1 tablet every 6 hours
COVID-19,"Headache, Dizziness, Blurred vision",Doxycycline,Use inhaler as needed
Measles,"Abdominal pain, High fever, Loss of appetite",Vitamin C,Take with water after meals
Food Poisoning,"Chills, Sweating, Muscle pain",Amoxicillin,Inject once daily
Mumps,"Red spots on skin, Fever",Vitamin C,Take 1 tablet every 6 hours
Sinusitis,"Swollen salivary glands, Fever",Loratadine,Take with water after meals
Asthma,"Swollen salivary glands, Fever",Methotrexate,1 capsule every morning with food
Typhoid,"Nausea, Vomiting, Diarrhea",Omeprazole,1 tablet every 12 hours
